,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
NRG,24303585280,12.965014,1.001,1.48,0.6591552990383457,0.9842696629213483,0.3357734366275953,9.204,23.961847,12.965014,0.4179,0.05698,443.664
NUE,26562820096,1.335977,1.747,1.91,-0.012856218419132327,0.1842696629213483,0.39070273878833145,86.244,20.320988,1.335977,0.074039996,0.0387,37.319
NVDA,2846259937280,35.991978,2.114,0.03,1.4591727939286454,0.9955056179775281,0.5139237446745114,3.241,39.676872,35.991978,1.1917701,0.57417,12.946
NVR,20905938944,5.32398,1.018,,0.2391285775241926,0.7573033707865169,0.30517958742946905,1343.016,14.732332,5.32398,0.38251,0.20363002,26.986
NXPI,48474451968,5.210732,1.391,2.17,0.33455077589893606,0.8786516853932584,0.38616301552798954,36.824,20.90196,5.210732,0.25441998,0.087629996,121.164
OXY,41387163648,1.5292538,0.813,2.46,0.030993438365998768,0.27640449438202247,0.5590786989556569,27.569,18.654867,1.5292538,0.0949,0.045100003,74.026
ODFL,33448519680,7.9199395,1.315,0.72,-0.12766352712443224,0.060674157303370786,0.32746515085179406,19.985,29.640448,7.9199395,0.26593,0.16778,1.416
OMC,14873591808,3.3885071,0.968,3.69,0.13849380215219267,0.5573033707865168,0.29447963627104373,22.414,10.375683,3.3885071,0.31022,0.051999997,129.051
ON,17124926464,2.132598,1.392,,0.02607599274646003,0.25617977528089886,0.49986012668379615,19.216,28.458332,2.132598,0.07852,0.06303,45.383
OKE,51407216640,2.4062219,1.003,5.13,0.1861558800529957,0.6741573033707865,0.3605584081847511,34.203,16.07422,2.4062219,0.16409001,0.06048,144.846
ORCL,421587910656,25.186798,1.276,1.34,0.03371994004506047,0.28314606741573034,0.2870567668879072,5.969,35.291077,25.186798,1.03741,0.073460005,632.501
PCAR,47592783872,2.6408389,0.967,1.49,0.19404307449397,0.6921348314606741,0.247205412573035,34.33,13.757208,2.6408389,0.19899,0.06702,87.159
PKG,16314755072,3.6731389,0.869,2.78,0.10412211851657376,0.47415730337078654,0.26066695684336766,49.391,18.976986,3.6731389,0.20211,0.08675,62.289
PLTR,276817444864,51.022182,2.684,,0.06334167112665993,0.36404494382022473,0.7317884652502704,2.299,510.0,51.022182,0.12357,0.043920003,4.432
PANW,123766341632,19.362957,1.024,,-0.002067116334448833,0.20224719101123595,0.41590854399278787,9.654,105.61017,19.362957,0.23378,0.0357,15.221
PH,82747760640,6.2115374,1.354,1.16,0.1913683335404826,0.6853932584269663,0.29597693563994176,104.256,24.926483,6.2115374,0.27146998,0.08821,69.948
