,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
ROK,33333919744,9.692904,1.317,1.85,0.05553920230176202,0.20681818181818182,0.2659065270524496,30.414,37.17528,9.692904,0.24438,0.071100004,113.537
ROL,27489122304,20.271622,0.788,1.16,-0.10820474808869311,0.031818181818181815,0.29577768164656315,2.798,57.29293,20.271622,0.37827,0.14879,67.198
ROP,61335154688,3.1906219,1.08,0.57,0.073650248275096,0.2545454545454545,0.24460326530996826,178.799,41.041725,3.1906219,0.08095,0.04156,38.788
ROST,46786498560,8.491794,1.177,1.13,0.12521895737741767,0.3568181818181818,0.39407025530971845,16.755,22.512657,8.491794,0.40282002,0.11066,103.144
RCL,63344082944,7.9575615,2.125,1.32,0.18127128780876733,0.45227272727272727,0.756602920285777,29.313,18.979658,7.9575615,0.48519,0.07429,247.101
SPGI,155712159744,4.666336,1.227,0.76,0.0981252519250034,0.3,0.2525455504887759,108.807,39.853218,4.666336,0.11241,0.061950002,31.875
CRM,264258338816,4.3312526,1.421,0.6,-0.046157621362133534,0.0659090909090909,0.415380601565328,63.589,43.237053,4.3312526,0.10258,0.047259998,19.731
SLB,46675668992,2.4080012,1.066,3.4,0.5273281954492428,0.9204545454545454,0.5530378609941158,14.348,11.7118635,2.4080012,0.20201,0.08125,68.142
SRE,49167278080,1.617726,0.642,3.4,0.05942735621240176,0.22272727272727272,0.2586962843832559,46.621,17.063347,1.617726,0.09709,0.01933,99.694
NOW,202851844096,20.00694,0.974,,-0.11054441722925282,0.02727272727272727,0.3860689354890755,48.986,132.97964,20.00694,0.16858,0.049200002,23.661
SHW,88176459776,21.247583,1.245,0.9,0.15827690231421182,0.4113636363636364,0.22936557926063406,16.56,33.257088,21.247583,0.70217,0.09887999,329.968
SPG,61517086720,18.352451,1.462,5.2,0.6111976816676962,0.9522727272727273,0.6059813371300014,8.892,22.447042,18.352451,0.74901,0.05797,688.571
SWKS,10475351040,1.7125281,1.179,4.19,0.25852242917975726,0.6136363636363636,0.41839758791670323,39.83,20.987692,1.7125281,0.06701,0.04812,20.363
